id,cod_pcia,nom_pcia,cod_depto,nom_depto,cod_ase,nombre,tipo,cod_aglo,nom_aglo,cod_agl,nom_agl,lat_gd,long_gd,lat_gs,long_gs,fuente
57,"06",Buenos Aires,"06028",Almirante Brown,"0602801009",Ministro Rivadavia,Entidad,"0001",Gran Buenos Aires,"060028",Almirante Brown,"-34.844021","-58.362754","-34º50'38""","-58º21'46""",INDEC
49,"06",Buenos Aires,"06028",Almirante Brown,"0602801001",Adrogué,Entidad,"0001",Gran Buenos Aires,"060028",Almirante Brown,"-34.797373","-58.388453","-34º47'51""","-58º23'18""",INDEC
50,"06",Buenos Aires,"06028",Almirante Brown,"0602801002",Burzaco,Entidad,"0001",Gran Buenos Aires,"060028",Almirante Brown,"-34.828172","-58.391034","-34º49'41""","-58º23'28""",INDEC
51,"06",Buenos Aires,"06028",Almirante Brown,"0602801003",Claypole,Entidad,"0001",Gran Buenos Aires,"060028",Almirante Brown,"-34.797559","-58.335204","-34º47'51""","-58º20' 7""",INDEC
52,"06",Buenos Aires,"06028",Almirante Brown,"0602801004",Don Orione,Entidad,"0001",Gran Buenos Aires,"060028",Almirante Brown,"-34.819292","-58.341854","-34º49' 9""","-58º20'31""",INDEC
53,"06",Buenos Aires,"06028",Almirante Brown,"0602801005",Glew,Entidad,"0001",Gran Buenos Aires,"060028",Almirante Brown,"-34.888336","-58.382787","-34º53'18""","-58º22'58""",INDEC
54,"06",Buenos Aires,"06028",Almirante Brown,"0602801006",José Mármol,Entidad,"0001",Gran Buenos Aires,"060028",Almirante Brown,"-34.786317","-58.369842","-34º47'11""","-58º22'11""",INDEC
55,"06",Buenos Aires,"06028",Almirante Brown,"0602801007",Longchamps,Entidad,"0001",Gran Buenos Aires,"060028",Almirante Brown,"-34.860730","-58.389185","-34º51'39""","-58º23'21""",INDEC
58,"06",Buenos Aires,"06028",Almirante Brown,"0602801010",Rafael Calzada,Entidad,"0001",Gran Buenos Aires,"060028",Almirante Brown,"-34.797360","-58.361671","-34º47'50""","-58º21'42""",INDEC
59,"06",Buenos Aires,"06028",Almirante Brown,"0602801011",San Francisco Solano,Entidad,"0001",Gran Buenos Aires,"060028",Almirante Brown,"-34.785653","-58.319568","-34º47' 8""","-58º19'10""",INDEC
60,"06",Buenos Aires,"06028",Almirante Brown,"0602801012",San José,Entidad,"0001",Gran Buenos Aires,"060028",Almirante Brown,"-34.763632","-58.343391","-34º45'49""","-58º20'36""",INDEC
61,"06",Buenos Aires,"06035",Avellaneda,"0603501005",Gerli,Entidad,"0001",Gran Buenos Aires,"060035",Avellaneda,"-34.683773","-58.374441","-34º41' 2""","-58º22'28""",INDEC
62,"06",Buenos Aires,"06035",Avellaneda,"0603501006",Piñeyro,Entidad,"0001",Gran Buenos Aires,"060035",Avellaneda,"-34.668084","-58.387747","-34º40' 5""","-58º23'16""",INDEC
63,"06",Buenos Aires,"06035",Avellaneda,"0603501007",Sarandí,Entidad,"0001",Gran Buenos Aires,"060035",Avellaneda,"-34.681796","-58.346311","-34º40'54""","-58º20'47""",INDEC
64,"06",Buenos Aires,"06035",Avellaneda,"0603501008",Villa Domínico,Entidad,"0001",Gran Buenos Aires,"060035",Avellaneda,"-34.694577","-58.330456","-34º41'40""","-58º19'50""",INDEC
65,"06",Buenos Aires,"06035",Avellaneda,"0603501009",Wilde,Entidad,"0001",Gran Buenos Aires,"060035",Avellaneda,"-34.704079","-58.317210","-34º42'15""","-58º19' 2""",INDEC
66,"06",Buenos Aires,"06035",Avellaneda,"0603501001",Área Reserva Cinturón Ecológico,Entidad,"0001",Gran Buenos Aires,"060035",Avellaneda,"-34.684460","-58.307737","-34º41' 4""","-58º18'28""",INDEC
67,"06",Buenos Aires,"06035",Avellaneda,"0603501002",Avellaneda,Entidad,"0001",Gran Buenos Aires,"060035",Avellaneda,"-34.663830","-58.362737","-34º39'50""","-58º21'46""",INDEC
68,"06",Buenos Aires,"06035",Avellaneda,"0603501003",Crucesita,Entidad,"0001",Gran Buenos Aires,"060035",Avellaneda,"-34.667992","-58.357126","-34º40' 5""","-58º21'26""",INDEC
69,"06",Buenos Aires,"06035",Avellaneda,"0603501004",Dock Sud,Entidad,"0001",Gran Buenos Aires,"060035",Avellaneda,"-34.650134","-58.344902","-34º39' 0""","-58º20'42""",INDEC
70,"06",Buenos Aires,"06056",Bahía Blanca,"0605601001",Bahía Blanca,Entidad,"0014",Bahía Blanca,"060056",Bahía Blanca,"-38.722770","-62.272742","-38º43'22""","-62º16'22""",INDEC
71,"06",Buenos Aires,"06056",Bahía Blanca,"0605601002",Grünbein,Entidad,"0014",Bahía Blanca,"060056",Bahía Blanca,"-38.749272","-62.190889","-38º44'57""","-62º11'27""",INDEC
72,"06",Buenos Aires,"06056",Bahía Blanca,"0605601003",Ingeniero White,Entidad,"0014",Bahía Blanca,"060056",Bahía Blanca,"-38.779492","-62.265581","-38º46'46""","-62º15'56""",INDEC
73,"06",Buenos Aires,"06056",Bahía Blanca,"0605601004",Villa Bordeau,Entidad,"0014",Bahía Blanca,"060056",Bahía Blanca,"-38.693559","-62.335017","-38º41'37""","-62º20' 6""",INDEC
74,"06",Buenos Aires,"06056",Bahía Blanca,"0605601005",Villa Espora,Entidad,"0014",Bahía Blanca,"060056",Bahía Blanca,"-38.741416","-62.171375","-38º44'29""","-62º10'17""",INDEC
75,"06",Buenos Aires,"06091",Berazategui,"0609101001",Berazategui,Entidad,"0001",Gran Buenos Aires,"060091",Berazategui,"-34.763016","-58.212169","-34º45'47""","-58º12'44""",INDEC
76,"06",Buenos Aires,"06091",Berazategui,"0609101002",Berazategui Oeste,Entidad,"0001",Gran Buenos Aires,"060091",Berazategui,"-34.777003","-58.238886","-34º46'37""","-58º14'20""",INDEC
77,"06",Buenos Aires,"06091",Berazategui,"0609101003",Carlos Tomás Sourigues,Entidad,"0001",Gran Buenos Aires,"060091",Berazategui,"-34.806252","-58.215388","-34º48'23""","-58º12'55""",INDEC
78,"06",Buenos Aires,"06091",Berazategui,"0609101004",El Pato,Entidad,"0001",Gran Buenos Aires,"060091",Berazategui,"-34.884830","-58.173852","-34º53' 5""","-58º10'26""",INDEC
79,"06",Buenos Aires,"06091",Berazategui,"0609101005",Guillermo Enrique Hudson,Entidad,"0001",Gran Buenos Aires,"060091",Berazategui,"-34.791847","-58.151619","-34º47'31""","-58º 9' 6""",INDEC
778,"06",Buenos Aires,"06021",Alberti,06021A04,Larrea,Paraje,,,"060021",Alberti,"-35.051663","-60.366964","-35º 3' 6""","-60º22' 1""",Mapa Educativo (GPS)
80,"06",Buenos Aires,"06091",Berazategui,"0609101006",Juan María Gutiérrez,Entidad,"0001",Gran Buenos Aires,"060091",Berazategui,"-34.833909","-58.183808","-34º50' 2""","-58º11' 2""",INDEC
81,"06",Buenos Aires,"06091",Berazategui,"0609101007",Pereyra,Entidad,"0001",Gran Buenos Aires,"060091",Berazategui,"-34.836179","-58.094289","-34º50'10""","-58º 5'39""",INDEC
82,"06",Buenos Aires,"06091",Berazategui,"0609101008",Plátanos,Entidad,"0001",Gran Buenos Aires,"060091",Berazategui,"-34.781808","-58.170186","-34º46'55""","-58º10'13""",INDEC
83,"06",Buenos Aires,"06091",Berazategui,"0609101009",Ranelagh,Entidad,"0001",Gran Buenos Aires,"060091",Berazategui,"-34.787787","-58.203185","-34º47'16""","-58º12'11""",INDEC
84,"06",Buenos Aires,"06091",Berazategui,"0609101010",Villa España,Entidad,"0001",Gran Buenos Aires,"060091",Berazategui,"-34.775472","-58.199442","-34º46'32""","-58º11'58""",INDEC
85,"06",Buenos Aires,"06098",Berisso,"0609801001",Barrio Banco Provincia,Entidad,"0005",Gran La Plata,"060098",Berisso,"-34.874295","-57.854726","-34º52'27""","-57º51'17""",INDEC
86,"06",Buenos Aires,"06098",Berisso,"0609801002",Barrio El Carmen Este,Entidad,"0005",Gran La Plata,"060098",Berisso,"-34.930281","-57.885311","-34º55'49""","-57º53' 7""",INDEC
87,"06",Buenos Aires,"06098",Berisso,"0609801003",Barrio Universitario,Entidad,"0005",Gran La Plata,"060098",Berisso,"-34.902348","-57.924829","-34º54' 8""","-57º55'29""",INDEC
88,"06",Buenos Aires,"06098",Berisso,"0609801004",Berisso,Entidad,"0005",Gran La Plata,"060098",Berisso,"-34.870294","-57.883325","-34º52'13""","-57º52'60""",INDEC
89,"06",Buenos Aires,"06098",Berisso,"0609801005",Los Talas,Entidad,"0005",Gran La Plata,"060098",Berisso,"-34.911024","-57.784269","-34º54'40""","-57º47' 3""",INDEC
90,"06",Buenos Aires,"06098",Berisso,"0609801006",Villa Argüello,Entidad,"0005",Gran La Plata,"060098",Berisso,"-34.906933","-57.916348","-34º54'25""","-57º54'59""",INDEC
91,"06",Buenos Aires,"06098",Berisso,"0609801007",Villa Dolores,Entidad,"0005",Gran La Plata,"060098",Berisso,"-34.878731","-57.867376","-34º52'43""","-57º52' 3""",INDEC
92,"06",Buenos Aires,"06098",Berisso,"0609801008",Villa Independencia,Entidad,"0005",Gran La Plata,"060098",Berisso,"-34.882168","-57.859509","-34º52'56""","-57º51'34""",INDEC
93,"06",Buenos Aires,"06098",Berisso,"0609801009",Villa Nueva,Entidad,"0005",Gran La Plata,"060098",Berisso,"-34.895272","-57.907496","-34º53'43""","-57º54'27""",INDEC
94,"06",Buenos Aires,"06098",Berisso,"0609801010",Villa Porteña,Entidad,"0005",Gran La Plata,"060098",Berisso,"-34.887155","-57.898086","-34º53'14""","-57º53'53""",INDEC
95,"06",Buenos Aires,"06098",Berisso,"0609801011",Villa Progreso,Entidad,"0005",Gran La Plata,"060098",Berisso,"-34.924053","-57.899885","-34º55'27""","-57º53'60""",INDEC
96,"06",Buenos Aires,"06098",Berisso,"0609801012",Villa San Carlos,Entidad,"0005",Gran La Plata,"060098",Berisso,"-34.876971","-57.874397","-34º52'37""","-57º52'28""",INDEC
97,"06",Buenos Aires,"06098",Berisso,"0609801013",Villa Zula,Entidad,"0005",Gran La Plata,"060098",Berisso,"-34.882976","-57.844716","-34º52'59""","-57º50'41""",INDEC
98,"06",Buenos Aires,"06134",Cañuelas,"0613405001",Barrio Belgrano,Entidad,"0001",Gran Buenos Aires,"060134",Cañuelas,"-34.898994","-58.651376","-34º53'56""","-58º39' 5""",INDEC
99,"06",Buenos Aires,"06134",Cañuelas,"0613405002",Máximo Paz,Entidad,"0001",Gran Buenos Aires,"060134",Cañuelas,"-34.939420","-58.616032","-34º56'22""","-58º36'58""",INDEC
100,"06",Buenos Aires,"06182",Coronel de Marina Leonardo Rosales,"0618203001",Punta Alta,Entidad,"0052",Punta Alta,"060182",Coronel de Marina L. Rosales,"-38.878173","-62.079480","-38º52'41""","-62º 4'46""",INDEC
101,"06",Buenos Aires,"06182",Coronel de Marina Leonardo Rosales,"0618203002",Villa del Mar,Entidad,"0052",Punta Alta,"060182",Coronel de Marina L. Rosales,"-38.854389","-62.116521","-38º51'16""","-62º 6'59""",INDEC
102,"06",Buenos Aires,"06218",Chascomús,"0621801001",Chascomús,Entidad,"0101",Chascomús,"060218",Chascomús,"-35.574206","-58.011281","-35º34'27""","-58º 0'41""",INDEC
103,"06",Buenos Aires,"06218",Chascomús,"0621801003",Barrio San Cayetano,Entidad,"0101",Chascomús,"060218",Chascomús,"-35.535390","-58.013995","-35º32' 7""","-58º 0'50""",INDEC
104,"06",Buenos Aires,"06245",Ensenada,"0624501001",Dique N° 1,Entidad,"0005",Gran La Plata,"060245",Ensenada,"-34.894788","-57.934267","-34º53'41""","-57º56' 3""",INDEC
105,"06",Buenos Aires,"06245",Ensenada,"0624501002",Ensenada,Entidad,"0005",Gran La Plata,"060245",Ensenada,"-34.862418","-57.908942","-34º51'45""","-57º54'32""",INDEC
106,"06",Buenos Aires,"06245",Ensenada,"0624501003",Isla Santiago,Entidad,"0005",Gran La Plata,"060245",Ensenada,"-34.845520","-57.894783","-34º50'44""","-57º53'41""",INDEC
107,"06",Buenos Aires,"06245",Ensenada,"0624501004",Punta Lara,Entidad,"0005",Gran La Plata,"060245",Ensenada,"-34.809816","-57.983799","-34º48'35""","-57º59' 2""",INDEC
108,"06",Buenos Aires,"06245",Ensenada,"0624501005",Villa Catela,Entidad,"0005",Gran La Plata,"060245",Ensenada,"-34.887186","-57.948424","-34º53'14""","-57º56'54""",INDEC
109,"06",Buenos Aires,"06252",Escobar,"0625201001",Belén de Escobar,Entidad,"0001",Gran Buenos Aires,"060252",Escobar,"-34.345471","-58.792810","-34º20'44""","-58º47'34""",INDEC
110,"06",Buenos Aires,"06252",Escobar,"0625201002",El Cazador,Entidad,"0001",Gran Buenos Aires,"060252",Escobar,"-34.311523","-58.764346","-34º18'41""","-58º45'52""",INDEC
111,"06",Buenos Aires,"06252",Escobar,"0625201003",Garín,Entidad,"0001",Gran Buenos Aires,"060252",Escobar,"-34.423034","-58.739461","-34º25'23""","-58º44'22""",INDEC
779,"06",Buenos Aires,"06021",Alberti,06021A05,Los Carrizales,Paraje,,,"060021",Alberti,"-35.006758","-60.408564","-35º 0'24""","-60º24'31""",INDEC. ACA
112,"06",Buenos Aires,"06252",Escobar,"0625201004",Ingeniero Maschwitz,Entidad,"0001",Gran Buenos Aires,"060252",Escobar,"-34.389235","-58.737867","-34º23'21""","-58º44'16""",INDEC
113,"06",Buenos Aires,"06252",Escobar,"0625201005",Loma Verde,Entidad,"0001",Gran Buenos Aires,"060252",Escobar,"-34.330701","-58.845808","-34º19'51""","-58º50'45""",INDEC
114,"06",Buenos Aires,"06252",Escobar,"0625201006",Matheu,Entidad,"0001",Gran Buenos Aires,"060252",Escobar,"-34.385245","-58.827806","-34º23' 7""","-58º49'40""",INDEC
115,"06",Buenos Aires,"06252",Escobar,"0625201007",Maquinista F. Savio Este,Entidad,"0001",Gran Buenos Aires,"060252",Escobar,"-34.400650","-58.776292","-34º24' 2""","-58º46'35""",INDEC
116,"06",Buenos Aires,"06260",Esteban Echeverría,"0626001001",Canning,Entidad,"0001",Gran Buenos Aires,"060260",Esteban Echeverría,"-34.857018","-58.497907","-34º51'25""","-58º29'52""",INDEC
117,"06",Buenos Aires,"06260",Esteban Echeverría,"0626001002",El Jagüel,Entidad,"0001",Gran Buenos Aires,"060260",Esteban Echeverría,"-34.830853","-58.494884","-34º49'51""","-58º29'42""",INDEC
118,"06",Buenos Aires,"06260",Esteban Echeverría,"0626001003",Luis Guillón,Entidad,"0001",Gran Buenos Aires,"060260",Esteban Echeverría,"-34.802642","-58.450675","-34º48'10""","-58º27' 2""",INDEC
119,"06",Buenos Aires,"06260",Esteban Echeverría,"0626001004",Monte Grande,Entidad,"0001",Gran Buenos Aires,"060260",Esteban Echeverría,"-34.816356","-58.468264","-34º48'59""","-58º28' 6""",INDEC
120,"06",Buenos Aires,"06260",Esteban Echeverría,"0626001005",9 de Abril,Entidad,"0001",Gran Buenos Aires,"060260",Esteban Echeverría,"-34.762788","-58.487548","-34º45'46""","-58º29'15""",INDEC
121,"06",Buenos Aires,"06266",Exaltación de la Cruz,"0626606001",El Remanso,Entidad,"1701",Parada Robles - Pavón,"060266",Exaltación de la Cruz,"-34.389772","-59.080778","-34º23'23""","-59º 4'51""",INDEC
295,"06",Buenos Aires,"06568",Morón,"0656801004",Morón,Entidad,"0001",Gran Buenos Aires,"060568",Morón,"-34.647457","-58.621862","-34º38'51""","-58º37'19""",INDEC
122,"06",Buenos Aires,"06266",Exaltación de la Cruz,"0626606002",Parada Robles,Entidad,"1701",Parada Robles - Pavón,"060266",Exaltación de la Cruz,"-34.371892","-59.124684","-34º22'19""","-59º 7'29""",INDEC
123,"06",Buenos Aires,"06266",Exaltación de la Cruz,"0626606003",Pavón,Entidad,"1701",Parada Robles - Pavón,"060266",Exaltación de la Cruz,"-34.393180","-59.034704","-34º23'35""","-59º 2' 5""",INDEC
124,"06",Buenos Aires,"06270",Ezeiza,"0627001001",Aeropuerto Internacional Ezeiza,Entidad,"0001",Gran Buenos Aires,"060270",Ezeiza,"-34.792504","-58.524640","-34º47'33""","-58º31'29""",INDEC
125,"06",Buenos Aires,"06270",Ezeiza,"0627001002",Canning,Entidad,"0001",Gran Buenos Aires,"060270",Ezeiza,"-34.877394","-58.507533","-34º52'39""","-58º30'27""",INDEC
126,"06",Buenos Aires,"06270",Ezeiza,"0627001003",Carlos Spegazzini,Entidad,"0001",Gran Buenos Aires,"060270",Ezeiza,"-34.911747","-58.592167","-34º54'42""","-58º35'32""",INDEC
127,"06",Buenos Aires,"06270",Ezeiza,"0627001004",José María Ezeiza,Entidad,"0001",Gran Buenos Aires,"060270",Ezeiza,"-34.852762","-58.523201","-34º51'10""","-58º31'24""",INDEC
128,"06",Buenos Aires,"06270",Ezeiza,"0627001005",La Unión,Entidad,"0001",Gran Buenos Aires,"060270",Ezeiza,"-34.875566","-58.541981","-34º52'32""","-58º32'31""",INDEC
129,"06",Buenos Aires,"06270",Ezeiza,"0627001006",Tristán Suárez,Entidad,"0001",Gran Buenos Aires,"060270",Ezeiza,"-34.890959","-58.566554","-34º53'27""","-58º33'60""",INDEC
130,"06",Buenos Aires,"06274",Florencio Varela,"0627401001",Bosques,Entidad,"0001",Gran Buenos Aires,"060274",Florencio Varela,"-34.816611","-58.231314","-34º48'60""","-58º13'53""",INDEC
131,"06",Buenos Aires,"06274",Florencio Varela,"0627401002",Estanislao Severo Zeballos,Entidad,"0001",Gran Buenos Aires,"060274",Florencio Varela,"-34.814180","-58.241218","-34º48'51""","-58º14'28""",INDEC
132,"06",Buenos Aires,"06274",Florencio Varela,"0627401003",San Juan Bautista,Entidad,"0001",Gran Buenos Aires,"060274",Florencio Varela,"-34.808986","-58.276150","-34º48'32""","-58º16'34""",INDEC
133,"06",Buenos Aires,"06274",Florencio Varela,"0627401004",Gobernador Julio A. Costa,Entidad,"0001",Gran Buenos Aires,"060274",Florencio Varela,"-34.807548","-58.303851","-34º48'27""","-58º18'14""",INDEC
134,"06",Buenos Aires,"06274",Florencio Varela,"0627401005",Ingeniero Juan Allan,Entidad,"0001",Gran Buenos Aires,"060274",Florencio Varela,"-34.866683","-58.198557","-34º52' 0""","-58º11'55""",INDEC
135,"06",Buenos Aires,"06274",Florencio Varela,"0627401006",Villa Brown,Entidad,"0001",Gran Buenos Aires,"060274",Florencio Varela,"-34.871296","-58.275495","-34º52'17""","-58º16'32""",INDEC
136,"06",Buenos Aires,"06274",Florencio Varela,"0627401007",Villa San Luis,Entidad,"0001",Gran Buenos Aires,"060274",Florencio Varela,"-34.857377","-58.273813","-34º51'27""","-58º16'26""",INDEC
137,"06",Buenos Aires,"06274",Florencio Varela,"0627401008",Villa Santa Rosa,Entidad,"0001",Gran Buenos Aires,"060274",Florencio Varela,"-34.837064","-58.282180","-34º50'13""","-58º16'56""",INDEC
138,"06",Buenos Aires,"06274",Florencio Varela,"0627401009",Villa Vatteone,Entidad,"0001",Gran Buenos Aires,"060274",Florencio Varela,"-34.826974","-58.271402","-34º49'37""","-58º16'17""",INDEC
139,"06",Buenos Aires,"06274",Florencio Varela,"0627401010",El Tropezón,Entidad,"0001",Gran Buenos Aires,"060274",Florencio Varela,"-34.946524","-58.267275","-34º56'47""","-58º16' 2""",INDEC
140,"06",Buenos Aires,"06274",Florencio Varela,"0627401011",La Capilla,Entidad,"0001",Gran Buenos Aires,"060274",Florencio Varela,"-34.925692","-58.264698","-34º55'32""","-58º15'53""",INDEC
141,"06",Buenos Aires,"06315",General Juan Madariaga,"0631501001",Barrio Kennedy,Entidad,"0178",General Juan Madariaga,"060315",General Juan Madariaga,"-37.020287","-57.103388","-37º 1'13""","-57º 6'12""",INDEC
142,"06",Buenos Aires,"06315",General Juan Madariaga,"0631501002",General Juan Madariaga,Entidad,"0178",General Juan Madariaga,"060315",General Juan Madariaga,"-37.001958","-57.135838","-37º 0' 7""","-57º 8' 9""",INDEC
143,"06",Buenos Aires,"06357",General Pueyrredón,"0635711001",Camet,Entidad,"0007",Mar del Plata,"060357",General Pueyrredón,"-37.940141","-57.549942","-37º56'25""","-57º32'60""",INDEC
144,"06",Buenos Aires,"06357",General Pueyrredón,"0635711002",Estación Camet,Entidad,"0007",Mar del Plata,"060357",General Pueyrredón,"-37.888422","-57.606946","-37º53'18""","-57º36'25""",INDEC
145,"06",Buenos Aires,"06357",General Pueyrredón,"0635711003",Mar del Plata,Entidad,"0007",Mar del Plata,"060357",General Pueyrredón,"-38.006449","-57.543838","-38º 0'23""","-57º32'38""",INDEC
146,"06",Buenos Aires,"06357",General Pueyrredón,"0635711004",Punta Mogotes,Entidad,"0007",Mar del Plata,"060357",General Pueyrredón,"-38.066953","-57.551039","-38º 4' 1""","-57º33' 4""",INDEC
147,"06",Buenos Aires,"06357",General Pueyrredón,"0635711005",Barrio El Casal,Entidad,"0007",Mar del Plata,"060357",General Pueyrredón,"-37.831596","-57.622111","-37º49'54""","-57º37'20""",INDEC
148,"06",Buenos Aires,"06357",General Pueyrredón,"0635712001",Barrio Colinas Verdes,Entidad,"2048",Sierra de los Padres,"060357",General Pueyrredón,"-37.892525","-57.824525","-37º53'33""","-57º49'28""",INDEC
149,"06",Buenos Aires,"06357",General Pueyrredón,"0635712002",Barrio El Coyunco,Entidad,"2048",Sierra de los Padres,"060357",General Pueyrredón,"-37.910501","-57.748810","-37º54'38""","-57º44'56""",INDEC
225,"06",Buenos Aires,"06441",La Plata,"0644103006",Barrio Gambier,Entidad,"0005",Gran La Plata,"060441",La Plata,"-34.936107","-57.984931","-34º56'10""","-57º59' 6""",INDEC
150,"06",Buenos Aires,"06357",General Pueyrredón,"0635712003",Barrio La Gloria,Entidad,"2048",Sierra de los Padres,"060357",General Pueyrredón,"-37.933267","-57.775560","-37º55'60""","-57º46'32""",INDEC
151,"06",Buenos Aires,"06357",General Pueyrredón,"0635712004",Sierra de los Padres,Entidad,"2048",Sierra de los Padres,"060357",General Pueyrredón,"-37.947628","-57.777867","-37º56'51""","-57º46'40""",INDEC
152,"06",Buenos Aires,"06364",General Rodríguez,"0636403001",Barrio Morabo,Entidad,"0001",Gran Buenos Aires,"060364",General Rodríguez,"-34.556685","-58.938385","-34º33'24""","-58º56'18""",INDEC
153,"06",Buenos Aires,"06364",General Rodríguez,"0636403002",Barrio Ruta 24 Kilómetro 10,Entidad,"0001",Gran Buenos Aires,"060364",General Rodríguez,"-34.684306","-58.958293","-34º41' 4""","-58º57'30""",INDEC
154,"06",Buenos Aires,"06364",General Rodríguez,"0636403003",Country Club Bosque Real,Entidad,"0001",Gran Buenos Aires,"060364",General Rodríguez,"-34.589847","-58.906007","-34º35'23""","-58º54'22""",INDEC
155,"06",Buenos Aires,"06364",General Rodríguez,"0636403004",General Rodríguez,Entidad,"0001",Gran Buenos Aires,"060364",General Rodríguez,"-34.608206","-58.951080","-34º36'30""","-58º57' 4""",INDEC
156,"06",Buenos Aires,"06371",General San Martín,"0637101027",Villa Yapeyú,Entidad,"0001",Gran Buenos Aires,"060371",General San Martín,"-34.571503","-58.548625","-34º34'17""","-58º32'55""",INDEC
157,"06",Buenos Aires,"06371",General San Martín,"0637101001",Barrio Parque General San Martín,Entidad,"0001",Gran Buenos Aires,"060371",General San Martín,"-34.565637","-58.586132","-34º33'56""","-58º35'10""",INDEC
158,"06",Buenos Aires,"06371",General San Martín,"0637101002",Billinghurst,Entidad,"0001",Gran Buenos Aires,"060371",General San Martín,"-34.575208","-58.574739","-34º34'31""","-58º34'29""",INDEC
159,"06",Buenos Aires,"06371",General San Martín,"0637101003",Ciudad del Libertador General San Martín,Entidad,"0001",Gran Buenos Aires,"060371",General San Martín,"-34.579252","-58.539172","-34º34'45""","-58º32'21""",INDEC
160,"06",Buenos Aires,"06371",General San Martín,"0637101004",Ciudad Jardín El Libertador,Entidad,"0001",Gran Buenos Aires,"060371",General San Martín,"-34.541968","-58.594840","-34º32'31""","-58º35'41""",INDEC
161,"06",Buenos Aires,"06371",General San Martín,"0637101005",Villa Ayacucho,Entidad,"0001",Gran Buenos Aires,"060371",General San Martín,"-34.589552","-58.553394","-34º35'22""","-58º33'12""",INDEC
162,"06",Buenos Aires,"06371",General San Martín,"0637101006",Villa Ballester,Entidad,"0001",Gran Buenos Aires,"060371",General San Martín,"-34.548083","-58.557084","-34º32'53""","-58º33'26""",INDEC
163,"06",Buenos Aires,"06371",General San Martín,"0637101007",Villa Bernardo Monteagudo,Entidad,"0001",Gran Buenos Aires,"060371",General San Martín,"-34.589533","-58.540871","-34º35'22""","-58º32'27""",INDEC
